Country/Region,ConfirmedCases,RecoveredCases,Deaths
Afghanistan,36896,25840,1298
Albania,6016,3155,188
Algeria,33626,23238,1273
Andorra,944,828,52
Angola,1483,520,64
Antigua and Barbuda,92,76,3
Argentina,228195,99852,4251
Armenia,39819,31556,772
Australia,13867,5628,181
Austria,21696,19596,719
Azerbaijan,33247,29275,479
Bahamas,761,91,14
Bahrain,42889,39945,156
Bangladesh,249651,143824,3306
Barbados,133,100,7
Belarus,68503,63756,580
Belgium,72016,17700,9861
Belize,114,32,2
Benin,1936,1600,38
Bhutan,108,96,0
Bolivia,86423,27373,3465
Bosnia and Herzegovina,13396,7042,384
Botswana,804,63,2
Brazil,2912212,2230542,98493
Brunei,141,138,3
Bulgaria,13014,7374,435
Burkina Faso,1158,961,54
Burma,357,308,6
Burundi,400,304,1
Cabo Verde,2734,2010,27
Cambodia,243,214,0
Cameroon,17718,15320,391
Canada,60133,104678,5687
Central African Republic,4620,1641,59
Chad,942,838,76
Chile,366671,340168,9889
China,68138,64435,4512
Colombia,357710,192355,11939
Comoros,396,340,7
Congo (Brazzaville),3546,1589,58
Congo (Kinshasa),9309,8048,215
Costa Rica,21070,7038,200
Cote d'Ivoire,16447,12484,103
Croatia,5404,4688,155
Cuba,2775,2409,88
Cyprus,1208,856,19
Czechia,17731,12320,390
Denmark,14306,12787,617
Diamond Princess,712,651,13
Djibouti,5330,5057,59
Dominica,18,18,0
Dominican Republic,76536,40539,1246
Ecuador,90537,71318,5877
Egypt,95006,48898,4951
El Salvador,19126,9236,513
Equatorial Guinea,4821,2182,83
Eritrea,282,225,0
Estonia,2124,1954,69
Eswatini,2968,1476,55
Ethiopia,20900,9027,365
Fiji,27,18,1
Finland,7532,6980,331
France,218763,72408,30185
Gabon,7787,5609,51
Gambia,935,136,16
Georgia,1206,987,17
Germany,215039,195281,9181
Ghana,39642,36384,199
Greece,5123,1374,210
Grenada,24,23,0
Guatemala,54339,42070,2119
Guinea,7664,6757,49
Guinea-Bissau,2032,944,27
Guyana,538,189,22
Haiti,7582,4832,171
Holy See,12,12,0
Honduras,45755,6225,1446
Hungary,4597,3463,600
Iceland,1932,1825,10
India,2027074,1378105,41585
Indonesia,118753,75645,5521
Iran,320117,277463,17976
Iraq,140603,101025,5161
Ireland,26372,23364,1768
Israel,79559,53427,576
Italy,249204,201323,35187
Jamaica,958,745,12
Japan,44167,28858,1034
Jordan,1232,1171,11
Kazakhstan,96922,70680,1058
Kenya,24411,10444,399
"Korea, South",14519,13543,303
Kosovo,9688,5480,300
Kuwait,70045,61610,469
Kyrgyzstan,38659,30099,1447
Laos,20,19,0
Latvia,1275,1070,32
Lebanon,5672,1974,70
Lesotho,742,175,23
Liberia,1224,705,78
Libya,4879,652,107
Liechtenstein,89,85,2
Lithuania,2171,1656,81
Luxembourg,7073,5750,119
MS Zaandam,9,0,2
Madagascar,12526,10148,134
Malawi,4491,2137,137
Malaysia,9038,8713,125
Maldives,4680,2725,19
Mali,2552,1954,124
Malta,946,670,9
Mauritania,6444,5291,157
Mauritius,344,334,10
Mexico,462690,365311,50517
Moldova,26628,18676,828
Monaco,125,105,4
Mongolia,293,260,0
Montenegro,3480,2178,60
Morocco,29644,20553,449
Mozambique,2120,795,15
Namibia,2652,563,15
Nepal,21750,15389,65
Netherlands,56982,114,6159
New Zealand,1569,1524,22
Nicaragua,3902,2913,123
Niger,1153,1057,69
Nigeria,45244,32430,930
North Macedonia,11399,7480,517
Norway,9468,8857,256
Oman,80713,70910,492
Pakistan,281863,256058,6035
Panama,71418,45658,1574
Papua New Guinea,163,53,3
Paraguay,6375,4974,66
Peru,455409,310337,20424
Philippines,119460,66837,2150
Poland,49515,35642,1774
Portugal,52061,37840,1743
Qatar,112092,108831,178
Romania,57895,28992,2566
Russia,870187,675069,14579
Rwanda,2111,1258,5
Saint Kitts and Nevis,17,16,0
Saint Lucia,25,24,0
Saint Vincent and the Grenadines,56,46,0
San Marino,699,657,42
Sao Tome and Principe,878,797,15
Saudi Arabia,284226,247089,3055
Senegal,10715,7101,223
Serbia,27332,15564,621
Seychelles,126,124,0
Sierra Leone,1877,1427,67
Singapore,54555,48031,27
Slovakia,2480,1824,29
Slovenia,2223,1909,125
Somalia,3227,1728,93
South Africa,538184,387316,9604
South Sudan,2450,1175,47
Spain,309855,150376,28752
Sri Lanka,2839,2541,11
Sudan,11780,6194,763
Suriname,2096,1446,29
Sweden,81967,0,5766
Switzerland,36108,31600,1985
Syria,999,311,48
Taiwan*,477,441,7
Tajikistan,7665,6443,62
Tanzania,509,183,21
Thailand,3330,3148,58
Timor-Leste,25,24,0
Togo,1012,697,22
Trinidad and Tobago,210,135,8
Tunisia,1642,1241,51
Turkey,237265,220546,5798
US,4883582,1598624,160104
Uganda,1223,1102,5
Ukraine,78515,43812,1846
United Arab Emirates,61845,55739,354
United Kingdom,308134,533,46413
Uruguay,1318,1079,37
Uzbekistan,28315,19291,175
Venezuela,23280,12470,202
Vietnam,750,392,10
West Bank and Gaza,13398,6907,92
Western Sahara,10,8,1
Yemen,1768,898,508
Zambia,7164,5786,199
Zimbabwe,4339,1264,84
