Date,ConfirmedCases,RecoveredCases,Deaths
2020-01-22,555,28,17
2020-01-23,654,30,18
2020-01-24,941,36,26
2020-01-25,1434,39,42
2020-01-26,2118,52,56
2020-01-27,2927,61,82
2020-01-28,5578,107,131
2020-01-29,6166,126,133
2020-01-30,8234,143,171
2020-01-31,9926,222,213
2020-02-01,12038,284,259
2020-02-02,16787,472,362
2020-02-03,19887,623,426
2020-02-04,23898,852,492
2020-02-05,27643,1124,564
2020-02-06,30802,1487,634
2020-02-07,34395,2011,719
2020-02-08,37129,2616,806
2020-02-09,40159,3244,906
2020-02-10,42768,3946,1013
2020-02-11,44810,4683,1113
2020-02-12,45228,5150,1118
2020-02-13,60381,6295,1371
2020-02-14,66908,8058,1523
2020-02-15,69050,9395,1666
2020-02-16,71234,10865,1770
2020-02-17,73269,12583,1868
2020-02-18,75151,14352,2008
2020-02-19,75651,16121,2123
2020-02-20,76211,18177,2248
2020-02-21,76840,18890,2252
2020-02-22,78601,22886,2459
2020-02-23,78981,23394,2470
2020-02-24,79545,25227,2630
2020-02-25,80398,27905,2710
2020-02-26,81375,30384,2771
2020-02-27,82735,33277,2814
2020-02-28,84120,36711,2873
2020-02-29,86013,39782,2942
2020-03-01,88395,42716,2996
2020-03-02,90372,45602,3085
2020-03-03,92957,48228,3160
2020-03-04,95272,51170,3255
2020-03-05,98028,53796,3348
2020-03-06,102018,55865,3460
2020-03-07,106036,58359,3559
2020-03-08,109993,60694,3803
2020-03-09,113946,62493,3987
2020-03-10,118967,64404,4267
2020-03-11,126675,67002,4611
2020-03-12,132450,68324,4917
2020-03-13,146783,70251,5414
2020-03-14,157801,72622,5834
2020-03-15,169032,76032,6475
2020-03-16,183677,78086,7153
2020-03-17,199391,80838,7964
2020-03-18,218683,83321,8867
2020-03-19,245633,84958,9981
2020-03-20,275963,87403,11460
2020-03-21,307709,91670,13180
2020-03-22,341784,97885,14854
2020-03-23,384630,98351,16797
2020-03-24,425787,107992,19079
2020-03-25,476680,113775,21877
2020-03-26,539069,122145,24893
2020-03-27,603910,130921,28388
2020-03-28,671653,139424,32102
2020-03-29,731267,148891,35572
2020-03-30,795997,164337,39620
2020-03-31,872495,177825,44365
2020-04-01,948663,192918,49863
2020-04-02,1030010,209967,56101
2020-04-03,1113203,225415,62205
2020-04-04,1193711,245832,68351
2020-04-05,1265377,259672,73540
2020-04-06,1338067,276252,79481
2020-04-07,1415186,299643,87712
2020-04-08,1498895,328359,94464
2020-04-09,1585483,353707,102237
2020-04-10,1672988,375509,109629
2020-04-11,1749872,401766,115854
2020-04-12,1846819,421180,121671
2020-04-13,1916464,448347,127587
2020-04-14,1986284,473436,134567
2020-04-15,2067245,510106,142918
2020-04-16,2163941,540926,150221
2020-04-17,2251672,567049,158588
2020-04-18,2325485,590968,164601
2020-04-19,2406054,622623,169862
2020-04-20,2479522,644613,175726
2020-04-21,2554727,679456,182917
2020-04-22,2631781,709881,189644
2020-04-23,2720583,738661,196485
2020-04-24,2807495,788712,203142
2020-04-25,2892296,816491,208774
2020-04-26,2965076,845096,212708
2020-04-27,3034072,872865,217382
2020-04-28,3109425,906136,223929
2020-04-29,3186589,948318,230657
2020-04-30,3270117,1013284,236559
2020-05-01,3357276,1051537,241722
2020-05-02,3438689,1092416,247205
2020-05-03,3516333,1124732,250694
2020-05-04,3592506,1158819,254808
2020-05-05,3672660,1195359,260714
2020-05-06,3762727,1241365,267277
2020-05-07,3851894,1280833,272579
2020-05-08,3943470,1317383,278054
2020-05-09,4029169,1370933,282287
2020-05-10,4105292,1404527,285874
2020-05-11,4181640,1451521,289354
2020-05-12,4265367,1488542,294889
2020-05-13,4350206,1544398,299981
2020-05-14,4447281,1584114,305171
2020-05-15,4543711,1632122,310304
2020-05-16,4639021,1688714,314424
2020-05-17,4717335,1729621,317712
2020-05-18,4805823,1782542,321412
2020-05-19,4902461,1834647,326158
2020-05-20,5005574,1893575,330926
2020-05-21,5111869,1944840,335657
2020-05-22,5218664,2053491,340851
2020-05-23,5323977,2108462,344742
2020-05-24,5419242,2163902,347870
2020-05-25,5506311,2227625,349062
2020-05-26,5598982,2282839,353180
2020-05-27,5701734,2346232,358326
2020-05-28,5821183,2413089,362944
2020-05-29,5942378,2490435,367536
2020-05-30,6080002,2560888,371610
2020-05-31,6187396,2637208,374478
2020-06-01,6282981,2692105,377554
2020-06-02,6403944,2796228,382296
2020-06-03,6522099,2875332,387745
2020-06-04,6649014,2945385,392879
2020-06-05,6779972,3014544,397453
2020-06-06,6915760,3086748,401265
2020-06-07,7027674,3141849,404006
2020-06-08,7130092,3293412,407707
2020-06-09,7254608,3375694,412562
2020-06-10,7389151,3454832,417623
2020-06-11,7527086,3540714,422322
2020-06-12,7656149,3620438,426545
2020-06-13,7791901,3706372,430722
2020-06-14,7925110,3777157,434129
2020-06-15,8044663,3857365,437559
2020-06-16,8186473,3955205,444294
2020-06-17,8328685,4073992,449396
2020-06-18,8468705,4155134,454386
2020-06-19,8648774,4250149,460545
2020-06-20,8806595,4365974,464746
2020-06-21,8935273,4434711,468747
2020-06-22,9073260,4526337,472311
2020-06-23,9238052,4630412,477539
2020-06-24,9409498,4746172,482712
2020-06-25,9587195,4839028,487411
2020-06-26,9778566,4945742,492109
2020-06-27,9957498,5052107,496574
2020-06-28,10119644,5141227,499712
2020-06-29,10275992,5235793,503435
2020-06-30,10449832,5353115,508361
2020-07-01,10666930,5469041,513291
2020-07-02,10874417,5753918,518361
2020-07-03,11077903,5863818,523297
2020-07-04,11271954,6059651,527661
2020-07-05,11454850,6178973,531133
2020-07-06,11620802,6302585,534954
2020-07-07,11831641,6447610,540984
2020-07-08,12043466,6605559,546257
2020-07-09,12271553,6740073,551670
2020-07-10,12503942,6879465,556965
2020-07-11,12720381,7005174,561750
2020-07-12,12913142,7116853,565740
2020-07-13,13105192,7257197,569553
2020-07-14,13326971,7399397,575148
2020-07-15,13557898,7559178,580582
2020-07-16,13810459,7711548,586332
2020-07-17,14052261,7894858,592988
2020-07-18,14290096,8045815,598609
2020-07-19,14504853,8133692,602661
2020-07-20,14710995,8292688,606829
2020-07-21,14944726,8467335,612998
2020-07-22,15225164,8643722,619920
2020-07-23,15507881,8813886,629817
2020-07-24,15789074,9043203,635852
2020-07-25,16044757,9262520,641398
2020-07-26,16258079,9402996,645058
2020-07-27,16484206,9572619,650233
2020-07-28,16736727,9746473,656545
2020-07-29,17025889,9948163,663118
2020-07-30,17306523,10170650,669124
2020-07-31,17596559,10369140,675313
2020-08-01,17847574,10553585,680796
2020-08-02,18076718,10690555,685087
2020-08-03,18278778,10913000,689402
2020-08-04,18537524,11134735,696350
2020-08-05,18808754,11356275,703302
2020-08-06,19093901,11545401,709787
2020-08-07,19374812,11737927,716089
2020-08-08,19634542,11939109,721499
2020-08-09,19858792,12115825,726039
2020-08-10,20086280,12280520,730973
2020-08-11,20341107,12585473,737391
2020-08-12,20618174,12826815,743999
2020-08-13,20904123,12992176,750232
2020-08-14,21208474,13276831,760366
2020-08-15,21456826,13445842,765715
2020-08-16,21669376,13676868,769903
2020-08-17,21878471,13888301,774036
2020-08-18,22134679,14116451,780909
2020-08-19,22408212,14333914,787659
2020-08-20,22675329,14541573,793684
2020-08-21,22946050,14712252,799224
2020-08-22,23200598,14911325,804387
2020-08-23,23417506,15137610,808648
2020-08-24,23643854,15337659,812998
2020-08-25,23885885,15570598,819396
2020-08-26,24173746,15794947,825680
2020-08-27,24452944,15996510,831566
2020-08-28,24734448,16196934,837080
2020-08-29,24996456,16408559,842452
2020-08-30,25222709,16616995,846353
2020-08-31,25484767,16818436,850535
2020-09-01,25749642,17073236,857015
2020-09-02,26031410,17291874,863028
2020-09-03,26304856,17512585,868733
2020-09-04,26609482,17717266,874369
2020-09-05,26873146,17917644,879307
2020-09-06,27103845,18137310,883339
