Country/Region,ConfirmedCases,RecoveredCases,Deaths
Afghanistan,198163,82586,7796
Albania,331908,130314,3589
Algeria,270631,118409,6879
Andorra,46147,14380,155
Angola,103131,39582,1917
Antarctica,11,0,0
Antigua and Barbuda,9008,1239,145
Argentina,9703938,4615834,129855
Armenia,441444,220438,8679
Australia,3495306,20061,5606
Austria,5058191,644388,20712
Azerbaijan,820513,333694,9902
Bahamas,37258,12702,833
Bahrain,677961,267220,1520
Bangladesh,2020768,1141157,29347
Barbados,102383,4251,559
Belarus,994037,443417,7118
Belgium,4525931,31130,32647
Belize,68784,13543,683
Benin,27638,8136,163
Bhutan,61730,2418,21
Bolivia,1107689,411830,22229
Bosnia and Herzegovina,398221,189710,16119
Botswana,326127,96964,2787
Brazil,34624427,17771228,685750
Brunei,226237,280,225
Bulgaria,1254682,398721,37697
Burkina Faso,21128,13385,387
Burma,620744,225849,19453
Burundi,50066,773,38
Cabo Verde,62358,33173,410
Cambodia,137827,72803,3056
Cameroon,121652,35261,1935
Canada,1459908,1405971,16727
Central African Republic,14904,6859,113
Chad,7573,4796,193
Chile,4599179,1575377,61017
China,1736413,64435,10099
Colombia,6306552,4615354,141769
Comoros,8471,3873,161
Congo (Brazzaville),24837,12421,386
Congo (Kinshasa),92852,30043,1442
Costa Rica,1111969,334759,8933
Cote d'Ivoire,87123,49642,823
Croatia,1227852,354830,16867
Cuba,1111109,373354,8530
Cyprus,585313,39061,1180
Czechia,4089884,1641321,41009
Denmark,3291284,306324,7026
Diamond Princess,712,699,13
Djibouti,15690,11491,189
Dominica,14852,209,68
Dominican Republic,644356,324861,4384
Ecuador,1002057,443880,35887
Egypt,515645,232179,24797
El Salvador,201785,76670,4229
Equatorial Guinea,17009,8709,183
Eritrea,10168,6475,103
Estonia,600796,129183,2667
Eswatini,73379,22127,1422
Ethiopia,493498,264008,7572
Fiji,68234,10848,878
Finland,1287044,46000,5928
France,34110990,342647,151376
Gabon,48691,25228,306
Gambia,12508,7310,372
Georgia,1780691,390827,16900
Germany,32952050,3659260,149458
Ghana,168813,98633,1459
Greece,4875215,93764,33010
Grenada,19516,161,236
Guatemala,1119277,331374,19748
Guinea,37652,24463,449
Guinea-Bissau,8796,4027,175
