,Country,Year,SP.POP.TOTL
11601,NER,1971,4637988
11602,NER,1972,4768227
11603,NER,1973,4902151
11604,NER,1974,5040798
11605,NER,1975,5184941
11606,NER,1976,5335085
11607,NER,1977,5491153
11608,NER,1978,5652652
11609,NER,1979,5818763
11610,NER,1980,5989004
11611,NER,1981,6163705
11612,NER,1982,6343523
11613,NER,1983,6528641
11614,NER,1984,6719309
11615,NER,1985,6915997
11616,NER,1986,7118883
11617,NER,1987,7328943
11618,NER,1988,7548433
11619,NER,1989,7780245
11620,NER,1990,8026591
11621,NER,1991,8288735
11622,NER,1992,8566770
11623,NER,1993,8860287
11624,NER,1994,9168312
11625,NER,1995,9490288
11626,NER,1996,9826598
11627,NER,1997,10178201
11628,NER,1998,10545716
11629,NER,1999,10929918
11630,NER,2000,11331557
11631,NER,2001,11751365
11632,NER,2002,12189983
11633,NER,2003,12647984
11634,NER,2004,13125916
11635,NER,2005,13624467
11636,NER,2006,14143971
11637,NER,2007,14685399
11638,NER,2008,15250908
11639,NER,2009,15843133
11640,NER,2010,16464025
11641,NER,2011,17114761
11642,NER,2012,17795191
11643,NER,2013,18504255
11644,NER,2014,19240157
11645,NER,2015,20001663
11646,NER,2016,20788838
11647,NER,2017,21602472
11648,NER,2018,22442948
11649,NER,2019,23310715
11651,NGA,1960,45138458
11652,NGA,1961,46063563
11653,NGA,1962,47029822
11654,NGA,1963,48032934
11655,NGA,1964,49066760
11656,NGA,1965,50127921
11657,NGA,1966,51217973
11658,NGA,1967,52342233
11659,NGA,1968,53506196
11660,NGA,1969,54717039
11661,NGA,1970,55982144
11662,NGA,1971,57296983
11663,NGA,1972,58665808
11664,NGA,1973,60114625
11665,NGA,1974,61677177
11666,NGA,1975,63374298
11667,NGA,1976,65221378
11668,NGA,1977,67203128
11669,NGA,1978,69271917
11670,NGA,1979,71361131
11671,NGA,1980,73423633
11672,NGA,1981,75440502
11673,NGA,1982,77427546
11674,NGA,1983,79414840
11675,NGA,1984,81448755
11676,NGA,1985,83562785
11677,NGA,1986,85766399
11678,NGA,1987,88048032
11679,NGA,1988,90395271
11680,NGA,1989,92788027
11681,NGA,1990,95212450
11682,NGA,1991,97667632
11683,NGA,1992,100161710
11684,NGA,1993,102700753
11685,NGA,1994,105293700
11686,NGA,1995,107948335
11687,NGA,1996,110668794
11688,NGA,1997,113457663
11689,NGA,1998,116319759
11690,NGA,1999,119260063
11691,NGA,2000,122283850
11692,NGA,2001,125394046
11693,NGA,2002,128596076
11694,NGA,2003,131900631
11695,NGA,2004,135320422
11696,NGA,2005,138865016
11697,NGA,2006,142538308
11698,NGA,2007,146339977
11699,NGA,2008,150269623
11700,NGA,2009,154324933
11701,NGA,2010,158503197
11702,NGA,2011,162805071
11703,NGA,2012,167228767
11704,NGA,2013,171765769
11705,NGA,2014,176404902
11706,NGA,2015,181137448
11707,NGA,2016,185960289
11708,NGA,2017,190873311
11709,NGA,2018,195874740
11710,NGA,2019,200963599
11712,MKD,1960,1488667
11713,MKD,1961,1507654
11714,MKD,1962,1527111
11715,MKD,1963,1547450
11716,MKD,1964,1569142
11717,MKD,1965,1592433
11718,MKD,1966,1617795
11719,MKD,1967,1644943
11720,MKD,1968,1672399
11721,MKD,1969,1698144
11722,MKD,1970,1720800
11723,MKD,1971,1739521
11724,MKD,1972,1754956
11725,MKD,1973,1768991
11726,MKD,1974,1784398
11727,MKD,1975,1803010
11728,MKD,1976,1825552
11729,MKD,1977,1851069
11730,MKD,1978,1877688
11731,MKD,1979,1902719
11732,MKD,1980,1924197
11733,MKD,1981,1941530
11734,MKD,1982,1955243
11735,MKD,1983,1965895
11736,MKD,1984,1974415
11737,MKD,1985,1981534
11738,MKD,1986,1987538
11739,MKD,1987,1992274
11740,MKD,1988,1995513
11741,MKD,1989,1996870
11742,MKD,1990,1996228
11743,MKD,1991,1993302
11744,MKD,1992,1988659
11745,MKD,1993,1984028
11746,MKD,1994,1981703
11747,MKD,1995,1983252
11748,MKD,1996,1989443
11749,MKD,1997,1999598
11750,MKD,1998,2012057
11751,MKD,1999,2024394
11752,MKD,2000,2034819
11753,MKD,2001,2042842
11754,MKD,2002,2048928
11755,MKD,2003,2053426
11756,MKD,2004,2057048
11757,MKD,2005,2060273
11758,MKD,2006,2063131
11759,MKD,2007,2065426
11760,MKD,2008,2067313
11761,MKD,2009,2069039
11762,MKD,2010,2070741
11763,MKD,2011,2072487
11764,MKD,2012,2074278
11765,MKD,2013,2076067
11766,MKD,2014,2077775
11767,MKD,2015,2079328
11768,MKD,2016,2080745
11769,MKD,2017,2081996
11770,MKD,2018,2082958
11771,MKD,2019,2083459
11773,MNP,1960,9979
11774,MNP,1961,10245
11775,MNP,1962,10436
11776,MNP,1963,10590
11777,MNP,1964,10783
11778,MNP,1965,11022
11779,MNP,1966,11344
11780,MNP,1967,11721
11781,MNP,1968,12140
11782,MNP,1969,12574
11783,MNP,1970,12994
11784,MNP,1971,13429
11785,MNP,1972,13882
11786,MNP,1973,14325
11787,MNP,1974,14677
11788,MNP,1975,14924
11789,MNP,1976,15026
11790,MNP,1977,15048
11791,MNP,1978,15170
11792,MNP,1979,15638
11793,MNP,1980,16633
11794,MNP,1981,18158
11795,MNP,1982,20167
