,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population
0,0.0,World,5328662,30455.0,340429.0,1004.0,2175290.0,2812943.0,44574.0,684.0,43.7,0.0,0.0,0.0
1,1.0,USA,1645646,552.0,97663.0,16.0,403228.0,1144755.0,17109.0,4975.0,295.0,13920391.0,42082.0,330795837.0
2,2.0,Russia,335882,9434.0,3388.0,139.0,107936.0,224558.0,2300.0,2302.0,23.0,8402747.0,57581.0,145927974.0
3,3.0,Brazil,332382,1492.0,21116.0,68.0,135430.0,175836.0,8318.0,1565.0,99.0,735224.0,3462.0,212397420.0
4,4.0,Spain,281904,0.0,28628.0,0.0,196958.0,56318.0,1152.0,6030.0,612.0,3037840.0,64977.0,46752901.0
5,5.0,UK,254195,0.0,36393.0,0.0,0.0,0.0,1559.0,3747.0,536.0,3231921.0,47635.0,67848130.0
6,6.0,Italy,228658,0.0,32616.0,0.0,136720.0,59322.0,595.0,3781.0,539.0,3318778.0,54882.0,60470956.0
7,7.0,France,182219,0.0,28289.0,0.0,64209.0,89721.0,1701.0,2792.0,433.0,1384633.0,21218.0,65258400.0
8,8.0,Germany,179713,0.0,8352.0,0.0,159900.0,11461.0,965.0,2146.0,100.0,3595059.0,42923.0,83755775.0
9,9.0,Turkey,154500,0.0,4276.0,0.0,116111.0,34113.0,800.0,1834.0,51.0,1767495.0,20982.0,84239988.0
10,10.0,Iran,133521,1869.0,7359.0,59.0,104072.0,22090.0,2633.0,1592.0,88.0,781286.0,9315.0,83874391.0
11,11.0,India,126308,1514.0,3754.0,28.0,52258.0,70296.0,0.0,92.0,3.0,2834798.0,2056.0,1378529934.0
12,12.0,Peru,111698,0.0,3244.0,0.0,44848.0,63606.0,901.0,3393.0,99.0,750526.0,22798.0,32920920.0
13,13.0,Canada,82480,0.0,6250.0,0.0,42594.0,33636.0,502.0,2187.0,166.0,1405208.0,37267.0,37706381.0
14,14.0,Saudi Arabia,67719,0.0,364.0,0.0,39003.0,28352.0,302.0,1949.0,10.0,667057.0,19194.0,34753259.0
15,15.0,Mexico,62527,2960.0,6989.0,479.0,42725.0,12813.0,378.0,486.0,54.0,201838.0,1567.0,128785048.0
16,16.0,Chile,61857,0.0,630.0,0.0,25342.0,35885.0,986.0,3239.0,33.0,442093.0,23148.0,19098478.0
17,17.0,Belgium,56810,299.0,9237.0,25.0,15155.0,32418.0,259.0,4904.0,797.0,768706.0,66358.0,11584289.0
18,18.0,Pakistan,52437,1743.0,1101.0,34.0,16653.0,34683.0,111.0,238.0,5.0,460692.0,2090.0,220403741.0
19,19.0,Netherlands,44888,0.0,5788.0,0.0,0.0,0.0,252.0,2620.0,338.0,313755.0,18315.0,17130906.0
20,20.0,Qatar,40481,0.0,19.0,0.0,7893.0,32569.0,175.0,14078.0,7.0,180642.0,62819.0,2875579.0
21,21.0,Ecuador,35828,0.0,3056.0,0.0,3557.0,29215.0,191.0,2034.0,174.0,104330.0,5923.0,17613161.0
22,22.0,Belarus,35244,941.0,194.0,4.0,13528.0,21522.0,92.0,3730.0,21.0,434618.0,45993.0,9449644.0
23,23.0,Sweden,32809,0.0,3925.0,0.0,4971.0,23913.0,265.0,3251.0,389.0,209900.0,20798.0,10092543.0
