,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
0,0.0,World,5494455,96505.0,346434.0,2826.0,2299139.0,2848882.0,53224.0,705.0,44.4,0.0,0.0,0.0
1,1.0,China,82974,3.0,4634.0,0.0,78261.0,79.0,8.0,58.0,3.0,0.0,0.0,1439323776.0
2,2.0,USA,1686436,19608.0,99300.0,617.0,451702.0,1135434.0,17135.0,5098.0,300.0,14749756.0,44587.0,330811717.0
3,3.0,Brazil,363618,16220.0,22716.0,703.0,149911.0,190991.0,8318.0,1712.0,107.0,735224.0,3461.0,212409786.0
4,4.0,Russia,344481,8599.0,3541.0,153.0,113299.0,227641.0,2300.0,2361.0,24.0,8685305.0,59518.0,145928485.0
5,5.0,Spain,282852,482.0,28752.0,74.0,196958.0,57142.0,854.0,6050.0,615.0,3556567.0,76071.0,46753049.0
6,6.0,UK,259559,2405.0,36793.0,118.0,0.0,0.0,1559.0,3825.0,542.0,3458905.0,50978.0,67851047.0
7,7.0,Italy,229858,531.0,32785.0,50.0,140479.0,56594.0,553.0,3801.0,542.0,3447012.0,57003.0,60470230.0
8,8.0,France,182584,115.0,28367.0,35.0,64617.0,89600.0,1655.0,2798.0,435.0,1384633.0,21217.0,65259581.0
9,9.0,Germany,180328,342.0,8371.0,5.0,160300.0,11657.0,889.0,2153.0,100.0,3595059.0,42922.0,83757965.0
10,10.0,Turkey,156827,1141.0,4340.0,32.0,118694.0,33793.0,769.0,1862.0,52.0,1832262.0,21749.0,84247422.0
11,11.0,India,138536,7113.0,4024.0,156.0,57692.0,76820.0,8944.0,100.0,3.0,2943421.0,2135.0,1378641054.0
12,12.0,Iran,135701,2180.0,7417.0,58.0,105801.0,22483.0,2615.0,1618.0,88.0,800519.0,9543.0,83883203.0
13,13.0,Peru,119959,4205.0,3456.0,83.0,49795.0,66708.0,920.0,3643.0,105.0,820967.0,24935.0,32924686.0
14,14.0,Canada,84699,1078.0,6424.0,69.0,43985.0,34290.0,502.0,2246.0,170.0,1459288.0,38699.0,37709091.0
15,15.0,Saudi Arabia,72560,2399.0,390.0,11.0,43520.0,28650.0,372.0,2088.0,11.0,703534.0,20241.0,34757706.0
16,16.0,Chile,69102,3709.0,718.0,45.0,28148.0,40236.0,1090.0,3618.0,38.0,471758.0,24700.0,19099822.0
17,17.0,Mexico,65856,3329.0,7179.0,190.0,44919.0,13758.0,378.0,511.0,56.0,215656.0,1674.0,128796145.0
18,18.0,Belgium,57092,282.0,9280.0,43.0,15272.0,32540.0,256.0,4928.0,801.0,781284.0,67441.0,11584702.0
19,19.0,Pakistan,54601,2164.0,1133.0,32.0,17198.0,36270.0,111.0,248.0,5.0,473607.0,2148.0,220438956.0
20,20.0,Netherlands,45236,172.0,5822.0,11.0,0.0,0.0,223.0,2641.0,340.0,313755.0,18315.0,17131215.0
21,21.0,Qatar,43714,1501.0,23.0,2.0,9170.0,34521.0,188.0,15200.0,8.0,188143.0,65419.0,2875978.0
22,22.0,Ecuador,36756,498.0,3108.0,12.0,3560.0,30088.0,208.0,2087.0,176.0,106079.0,6022.0,17615358.0
23,23.0,Belarus,36198,954.0,199.0,5.0,14155.0,21844.0,92.0,3831.0,21.0,450627.0,47687.0,9449619.0
24,24.0,Bangladesh,33610,1532.0,480.0,28.0,6901.0,26229.0,1.0,204.0,3.0,243583.0,1481.0,164524398.0
25,25.0,Sweden,33459,271.0,3998.0,6.0,4971.0,24490.0,249.0,3315.0,396.0,209900.0,20796.0,10093058.0
26,26.0,Singapore,31616,548.0,23.0,0.0,14876.0,16717.0,8.0,5408.0,4.0,294414.0,50364.0,5845767.0
27,27.0,Switzerland,30736,11.0,1906.0,1.0,28100.0,730.0,50.0,3554.0,220.0,370464.0,42836.0,8648347.0
28,28.0,Portugal,30623,152.0,1316.0,14.0,17549.0,11758.0,78.0,3002.0,129.0,689705.0,67621.0,10199497.0
29,29.0,UAE,29485,781.0,245.0,1.0,15056.0,14184.0,1.0,2985.0,25.0,1600923.0,162065.0,9878250.0
30,30.0,Ireland,24639,57.0,1608.0,4.0,21060.0,1971.0,54.0,4996.0,326.0,295626.0,59938.0,4932204.0
31,31.0,South Africa,22583,1240.0,429.0,22.0,11100.0,11054.0,128.0,381.0,7.0,583855.0,9857.0,59232433.0
32,32.0,Indonesia,22271,526.0,1372.0,21.0,5402.0,15497.0,0.0,82.0,5.0,248555.0,910.0,273231828.0
33,33.0,Poland,21326,395.0,996.0,3.0,9194.0,11136.0,160.0,563.0,26.0,767441.0,20276.0,37850537.0
34,34.0,Kuwait,21302,838.0,156.0,8.0,6117.0,15029.0,177.0,4996.0,37.0,271089.0,63575.0,4264055.0
35,35.0,Colombia,21175,998.0,727.0,22.0,5016.0,15432.0,136.0,417.0,14.0,252742.0,4972.0,50828154.0
36,36.0,Ukraine,20986,406.0,617.0,12.0,7108.0,13261.0,256.0,480.0,14.0,285626.0,6527.0,43757987.0
37,37.0,Romania,18070,213.0,1185.0,9.0,11399.0,5486.0,188.0,939.0,62.0,368482.0,19142.0,19249480.0
38,38.0,Egypt,17265,752.0,764.0,29.0,4807.0,11694.0,41.0,169.0,7.0,135000.0,1322.0,102130974.0
39,39.0,Israel,16717,5.0,279.0,0.0,14153.0,2285.0,45.0,1818.0,30.0,537489.0,58438.0,9197590.0
